x,libm_expm1f,q24_8,q8_24,q24_minus_libm,q8_minus_libm,q24_abs_err,q8_abs_err,q24_rel_err,q8_rel_err,q24_minus_q8
8.7000001222e-03,8.7379552424e-03,7.8125000000e-03,8.7378621101e-03,-9.2545524240e-04,-9.3132257462e-08,9.2545524240e-04,9.3132257462e-08,1.0591210425e-01,1.0658358406e-05,-9.2536211014e-04
8.7999999523e-03,8.8388333097e-03,7.8125000000e-03,8.8387727737e-03,-1.0263333097e-03,-6.0535967350e-08,1.0263333097e-03,6.0535967350e-08,1.1611637473e-01,6.8488639045e-06,-1.0262727737e-03
8.8999997824e-03,8.9397225529e-03,7.8125000000e-03,8.9396238327e-03,-1.1272225529e-03,-9.8720192909e-08,1.1272225529e-03,9.8720192909e-08,1.2609145045e-01,1.1042870028e-05,-1.1271238327e-03
8.9999996126e-03,9.0406211093e-03,7.8125000000e-03,9.0405941010e-03,-1.2281211093e-03,-2.7008354664e-08,1.2281211093e-03,2.7008354664e-08,1.3584476709e-01,2.9874445318e-06,-1.2280941010e-03
9.1000003740e-03,9.1415308416e-03,7.8125000000e-03,9.1415047646e-03,-1.3290308416e-03,-2.6077032089e-08,1.3290308416e-03,2.6077032089e-08,1.4538383484e-01,2.8525892048e-06,-1.3290047646e-03
9.2000002041e-03,9.2424498871e-03,7.8125000000e-03,9.2424154282e-03,-1.4299498871e-03,-3.4458935261e-08,1.4299498871e-03,3.4458935261e-08,1.5471546352e-01,3.7283334677e-06,-1.4299154282e-03
9.3000000343e-03,9.3433791772e-03,7.8125000000e-03,9.3433260918e-03,-1.5308791772e-03,-5.3085386753e-08,1.5308791772e-03,5.3085386753e-08,1.6384641826e-01,5.6816047618e-06,-1.5308260918e-03
9.3999998644e-03,9.4443187118e-03,7.8125000000e-03,9.4442963600e-03,-1.6318187118e-03,-2.2351741791e-08,1.6318187118e-03,2.2351741791e-08,1.7278310657e-01,2.3666864308e-06,-1.6317963600e-03
9.4999996945e-03,9.5452675596e-03,7.8125000000e-03,9.5452666283e-03,-1.7327675596e-03,-9.3132257462e-10,1.7327675596e-03,9.3132257462e-10,1.8153159320e-01,9.7569035518e-08,-1.7327666283e-03
9.6000004560e-03,9.6462285146e-03,7.8125000000e-03,9.6461772919e-03,-1.8337285146e-03,-5.1222741604e-08,1.8337285146e-03,5.1222741604e-08,1.9009797275e-01,5.3101316553e-06,-1.8336772919e-03
9.7000002861e-03,9.7471978515e-03,7.8125000000e-03,9.7471475601e-03,-1.9346978515e-03,-5.0291419029e-08,1.9346978515e-03,5.0291419029e-08,1.9848759472e-01,5.1595770856e-06,-1.9346475601e-03
9.8000001162e-03,9.8481774330e-03,1.1718750000e-02,9.8481178284e-03,1.8705725670e-03,-5.9604644775e-08,1.8705725670e-03,5.9604644775e-08,1.8994098902e-01,6.0523530010e-06,1.8706321716e-03
9.8999999464e-03,9.9491672590e-03,1.1718750000e-02,9.9490880966e-03,1.7695827410e-03,-7.9162418842e-08,1.7695827410e-03,7.9162418842e-08,1.7786239088e-01,7.9566880231e-06,1.7696619034e-03
9.9999997765e-03,1.0050166398e-02,1.1718750000e-02,1.0050058365e-02,1.6685836017e-03,-1.0803341866e-07,1.6685836017e-03,1.0803341866e-07,1.6602547467e-01,1.0749416106e-05,1.6686916351e-03
1.0099999607e-02,1.0151176713e-02,1.1718750000e-02,1.0151088238e-02,1.5675732866e-03,-8.8475644588e-08,1.5675732866e-03,8.8475644588e-08,1.5442281961e-01,8.7158014139e-06,1.5676617622e-03
1.0200000368e-02,1.0252197273e-02,1.1718750000e-02,1.0252118111e-02,1.4665527269e-03,-7.9162418842e-08,1.4665527269e-03,7.9162418842e-08,1.4304764569e-01,7.7215072452e-06,1.4666318893e-03
1.0300000198e-02,1.0353228077e-02,1.1718750000e-02,1.0353147984e-02,1.3655219227e-03,-8.0093741417e-08,1.3655219227e-03,8.0093741417e-08,1.3189335167e-01,7.7361128206e-06,1.3656020164e-03
1.0400000028e-02,1.0454268195e-02,1.1718750000e-02,1.0454237461e-02,1.2644818053e-03,-3.0733644962e-08,1.2644818053e-03,3.0733644962e-08,1.2095364183e-01,2.9398179322e-06,1.2645125389e-03
